,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Difference
196,2018-11-01,48.93000031,50.06000137,46.88999939,48.45999908,4031400,0,0,-0.96%
197,2018-11-02,49.02000046,50,47.02999878,48.91999817,3026700,0,0,-0.20%
198,2018-11-05,48.95999908,52.77999878,47.59000015,52.52999878,4749100,0,0,7.29%
199,2018-11-06,52.88000107,57.74000168,51.43999863,56.13999939,16835000,0,0,6.16%
200,2018-11-07,58.15000153,61.25,54.09000015,60.61000061,8056400,0,0,4.23%
201,2018-11-08,58.20999908,59.20000076,55.27000046,56,5178800,0,0,-3.80%
202,2018-11-09,54.5,54.5,51.15000153,51.49000168,4933900,0,0,-5.52%
203,2018-11-12,52.43000031,53.5,49.40000153,51.88999939,3285300,0,0,-1.03%
204,2018-11-13,50.74000168,52.97000122,50.65999985,50.88999939,3271800,0,0,0.30%
205,2018-11-14,46.72999954,49.11000061,42.5,45.13999939,7302700,0,0,-3.40%
206,2018-11-15,45,48.77999878,43.84999847,46.43999863,5207200,0,0,3.20%
207,2018-11-16,46.02000046,47.59999847,45.45000076,46.31999969,3062100,0,0,0.65%
208,2018-11-19,45.97999954,46.34999847,42.54000092,43.09999847,3428500,0,0,-6.26%
209,2018-11-20,40.20000076,44.40000153,40,42.52000046,4932600,0,0,5.77%
210,2018-11-21,43.58000183,45.93999863,43.58000183,44.63999939,3012100,0,0,2.43%
211,2018-11-22,44.79999924,44.83000183,43.20000076,44.29999924,1076900,0,0,-1.12%
212,2018-11-23,43.81999969,46.09999847,43.81999969,44.36999893,1932600,0,0,1.26%
213,2018-11-26,45.45000076,45.75,41.59999847,41.70999908,2743800,0,0,-8.23%
214,2018-11-27,41.79000092,43.20000076,41.08000183,42.13999939,2614100,0,0,0.84%
215,2018-11-28,42.97999954,45.09999847,42.97999954,45.09999847,3222300,0,0,4.93%
216,2018-11-29,44.70999908,45.27999878,42.97999954,44.20000076,2879300,0,0,-1.14%
217,2018-11-30,44.00999832,45.15000153,43.08000183,45.15000153,2530900,0,0,2.59%
218,2018-12-03,45.54000092,46.41999817,42.65999985,44.06999969,4067500,0,0,-3.23%
